Group,Race,Label,Value,Region
0 - 6,Hispanic,Pop,6844,North Central
0 - 6,Hispanic,Tx,486,North Central
0 - 6,Hispanic,Life,1369,North Central
0 - 6,Other,Pop,2942,North Central
0 - 6,Other,Tx,209,North Central
0 - 6,Other,Life,588,North Central
0 - 6,Total,Pop,30753,North Central
0 - 6,Total,Tx,2183,North Central
0 - 6,Total,Life,6151,North Central
0 - 6,White,Pop,15453,North Central
0 - 6,White,Tx,1097,North Central
0 - 6,White,Life,3091,North Central
10 - 15,Black,Pop,9166,North Central
10 - 15,Black,Tx,651,North Central
10 - 15,Black,Life,1833,North Central
10 - 15,Hispanic,Pop,10522,North Central
10 - 15,Hispanic,Tx,747,North Central
10 - 15,Hispanic,Life,2104,North Central
10 - 15,Other,Pop,3827,North Central
10 - 15,Other,Tx,272,North Central
10 - 15,Other,Life,765,North Central
10 - 15,Total,Pop,50202,North Central
10 - 15,Total,Tx,3564,North Central
10 - 15,Total,Life,10040,North Central
10 - 15,White,Pop,26687,North Central
10 - 15,White,Tx,1895,North Central
10 - 15,White,Life,5337,North Central
16 - 19,Black,Pop,6825,North Central
16 - 19,Black,Tx,485,North Central
16 - 19,Black,Life,1365,North Central
16 - 19,Hispanic,Pop,7438,North Central
16 - 19,Hispanic,Tx,528,North Central
16 - 19,Hispanic,Life,1488,North Central
16 - 19,Other,Pop,2206,North Central
16 - 19,Other,Tx,157,North Central
16 - 19,Other,Life,441,North Central
16 - 19,Total,Pop,34357,North Central
16 - 19,Total,Tx,2439,North Central
16 - 19,Total,Life,6871,North Central
16 - 19,White,Pop,17888,North Central
16 - 19,White,Tx,1270,North Central
16 - 19,White,Life,3578,North Central
20 - 21,Black,Pop,3167,North Central
20 - 21,Black,Tx,225,North Central
20 - 21,Black,Life,633,North Central
20 - 21,Hispanic,Pop,3566,North Central
20 - 21,Hispanic,Tx,253,North Central
20 - 21,Hispanic,Life,713,North Central
20 - 21,Other,Pop,1000,North Central
20 - 21,Other,Tx,71,North Central
20 - 21,Other,Life,200,North Central
20 - 21,Total,Pop,15647,North Central
20 - 21,Total,Tx,1111,North Central
20 - 21,Total,Life,3129,North Central
20 - 21,White,Pop,7914,North Central
20 - 21,White,Tx,562,North Central
20 - 21,White,Life,1583,North Central
0 - 21,Black,Pop,26009,South Central
0 - 21,Black,Tx,1847,South Central
0 - 21,Black,Life,5202,South Central
0 - 21,Hispanic,Pop,28410,South Central
0 - 21,Hispanic,Tx,2017,South Central
0 - 21,Hispanic,Life,5682,South Central
0 - 21,Other,Pop,11857,South Central
0 - 21,Other,Tx,842,South Central
0 - 21,Other,Life,2371,South Central
0 - 21,Total,Pop,142705,South Central
0 - 21,Total,Tx,10132,South Central
0 - 21,Total,Life,28541,South Central
0 - 21,White,Pop,76429,South Central
0 - 21,White,Tx,5426,South Central
0 - 21,White,Life,15286,South Central
0 - 5,Black,Pop,6218,South Central
0 - 5,Black,Tx,441,South Central
0 - 5,Black,Life,1244,South Central
0 - 5,Hispanic,Pop,8234,South Central
0 - 5,Hispanic,Tx,585,South Central
0 - 5,Hispanic,Life,1647,South Central
0 - 5,Other,Pop,3514,South Central
0 - 5,Other,Tx,249,South Central
0 - 5,Other,Life,703,South Central
0 - 5,Total,Pop,33877,South Central
0 - 5,Total,Tx,2405,South Central
0 - 5,Total,Life,6775,South Central
0 - 5,White,Pop,15911,South Central
0 - 5,White,Tx,1130,South Central
0 - 5,White,Life,3182,South Central
10 - 15,Black,Pop,7113,South Central
10 - 15,Black,Tx,505,South Central
10 - 15,Black,Life,1423,South Central
10 - 15,Hispanic,Pop,7276,South Central
10 - 15,Hispanic,Tx,517,South Central
10 - 15,Hispanic,Life,1455,South Central
10 - 15,Other,Pop,2829,South Central
10 - 15,Other,Tx,201,South Central
10 - 15,Other,Life,566,South Central
10 - 15,Total,Pop,37641,South Central
10 - 15,Total,Tx,2673,South Central
10 - 15,Total,Life,7528,South Central
10 - 15,White,Pop,20423,South Central
10 - 15,White,Tx,1450,South Central
10 - 15,White,Life,4085,South Central
16 - 19,Black,Pop,5578,South Central
16 - 19,Black,Tx,396,South Central
16 - 19,Black,Life,1116,South Central
16 - 19,Hispanic,Pop,5231,South Central
16 - 19,Hispanic,Tx,371,South Central
16 - 19,Hispanic,Life,1046,South Central
16 - 19,Other,Pop,2111,South Central
16 - 19,Other,Tx,150,South Central
16 - 19,Other,Life,422,South Central
16 - 19,Total,Pop,30775,South Central
16 - 19,Total,Tx,2185,South Central
16 - 19,Total,Life,6155,South Central
16 - 19,White,Pop,17855,South Central
16 - 19,White,Tx,1268,South Central
16 - 19,White,Life,3571,South Central
20 - 21,Black,Pop,2839,South Central
20 - 21,Black,Tx,202,South Central
20 - 21,Black,Life,568,South Central
20 - 21,Hispanic,Pop,2619,South Central
20 - 21,Hispanic,Tx,186,South Central
20 - 21,Hispanic,Life,524,South Central
20 - 21,Other,Pop,1338,South Central
20 - 21,Other,Tx,95,South Central
20 - 21,Other,Life,268,South Central
20 - 21,Total,Pop,17249,South Central
20 - 21,Total,Tx,1225,South Central
20 - 21,Total,Life,3450,South Central
20 - 21,White,Pop,10453,South Central
20 - 21,White,Tx,742,South Central
20 - 21,White,Life,2091,South Central
6 - 9,Black,Pop,4261,South Central
6 - 9,Black,Tx,303,South Central
6 - 9,Black,Life,852,South Central
6 - 9,Hispanic,Pop,5050,South Central
6 - 9,Hispanic,Tx,359,South Central
6 - 9,Hispanic,Life,1010,South Central
6 - 9,Other,Pop,2065,South Central
6 - 9,Other,Tx,147,South Central
6 - 9,Other,Life,413,South Central
6 - 9,Total,Pop,23163,South Central
6 - 9,Total,Tx,1645,South Central
6 - 9,Total,Life,4633,South Central
6 - 9,White,Pop,11787,South Central
6 - 9,White,Tx,837,South Central
6 - 9,White,Life,2357,South Central
0 - 21,Black,Pop,28872,South West
0 - 21,Black,Tx,2050,South West
0 - 21,Black,Life,5774,South West
0 - 21,Hispanic,Pop,46879,South West
0 - 21,Hispanic,Tx,3328,South West
0 - 21,Hispanic,Life,9376,South West
0 - 21,Other,Pop,15922,South West
0 - 21,Other,Tx,1130,South West
0 - 21,Other,Life,3184,South West
0 - 21,Total,Pop,202157,South West
0 - 21,Total,Tx,14353,South West
0 - 21,Total,Life,40431,South West
0 - 21,White,Pop,110484,South West
0 - 21,White,Tx,7844,South West
0 - 21,White,Life,22097,South West
0 - 5,Black,Pop,6852,South West
0 - 5,Black,Tx,486,South West
0 - 5,Black,Life,1370,South West
0 - 5,Hispanic,Pop,13612,South West
0 - 5,Hispanic,Tx,966,South West
0 - 5,Hispanic,Life,2722,South West
0 - 5,Other,Pop,5494,South West
0 - 5,Other,Tx,390,South West
0 - 5,Other,Life,1099,South West
0 - 5,Total,Pop,53397,South West
0 - 5,Total,Tx,3791,South West
0 - 5,Total,Life,10679,South West
0 - 5,White,Pop,27439,South West
0 - 5,White,Tx,1948,South West
0 - 5,White,Life,5488,South West
10 - 15,Black,Pop,8336,South West
10 - 15,Black,Tx,592,South West
10 - 15,Black,Life,1667,South West
10 - 15,Hispanic,Pop,12373,South West
10 - 15,Hispanic,Tx,878,South West
10 - 15,Hispanic,Life,2475,South West
10 - 15,Other,Pop,4163,South West
10 - 15,Other,Tx,296,South West
10 - 15,Other,Life,833,South West
10 - 15,Total,Pop,59600,South West
10 - 15,Total,Tx,4232,South West
10 - 15,Total,Life,11920,South West
10 - 15,White,Pop,34728,South West
10 - 15,White,Tx,2466,South West
10 - 15,White,Life,6946,South West
16 - 19,Black,Pop,6092,South West
16 - 19,Black,Tx,433,South West
16 - 19,Black,Life,1218,South West
16 - 19,Hispanic,Pop,8374,South West
16 - 19,Hispanic,Tx,595,South West
16 - 19,Hispanic,Life,1675,South West
16 - 19,Other,Pop,2153,South West
16 - 19,Other,Tx,153,South West
16 - 19,Other,Life,431,South West
16 - 19,Total,Pop,36339,South West
16 - 19,Total,Tx,2580,South West
16 - 19,Total,Life,7268,South West
16 - 19,White,Pop,19720,South West
16 - 19,White,Tx,1400,South West
16 - 19,White,Life,3944,South West
20 - 21,Black,Pop,2705,South West
20 - 21,Black,Tx,192,South West
20 - 21,Black,Life,541,South West
20 - 21,Hispanic,Pop,4209,South West
20 - 21,Hispanic,Tx,299,South West
20 - 21,Hispanic,Life,842,South West
20 - 21,Other,Pop,833,South West
20 - 21,Other,Tx,59,South West
20 - 21,Other,Life,167,South West
20 - 21,Total,Pop,14700,South West
20 - 21,Total,Tx,1044,South West
20 - 21,Total,Life,2940,South West
20 - 21,White,Pop,6953,South West
20 - 21,White,Tx,494,South West
20 - 21,White,Life,1391,South West
6 - 9,Black,Pop,4887,South West
6 - 9,Black,Tx,347,South West
6 - 9,Black,Life,977,South West
6 - 9,Hispanic,Pop,8311,South West
6 - 9,Hispanic,Tx,590,South West
6 - 9,Hispanic,Life,1662,South West
6 - 9,Other,Pop,3279,South West
6 - 9,Other,Tx,233,South West
6 - 9,Other,Life,656,South West
6 - 9,Total,Pop,38121,South West
6 - 9,Total,Tx,2707,South West
6 - 9,Total,Life,7624,South West
6 - 9,White,Pop,21644,South West
6 - 9,White,Tx,1537,South West
6 - 9,White,Life,4329,South West
0 - 21,Black,Pop,113638,State
0 - 21,Black,Tx,8068,State
0 - 21,Black,Life,22728,State
0 - 21,Hispanic,Pop,195413,State
0 - 21,Hispanic,Tx,13874,State
0 - 21,Hispanic,Life,39083,State
0 - 21,Other,Pop,80677,State
0 - 21,Other,Tx,5728,State
0 - 21,Other,Life,16135,State
0 - 21,Total,Pop,1010183,State
0 - 21,Total,Tx,71723,State
0 - 21,Total,Life,202037,State
0 - 21,White,Pop,620452,State
0 - 21,White,Tx,44052,State
0 - 21,White,Life,124090,State
0 - 5,Black,Pop,26567,State
0 - 5,Black,Tx,1886,State
0 - 5,Black,Life,5313,State
0 - 5,Hispanic,Pop,55929,State
0 - 5,Hispanic,Tx,3971,State
0 - 5,Hispanic,Life,11186,State
0 - 5,Other,Pop,25262,State
0 - 5,Other,Tx,1794,State
0 - 5,Other,Life,5052,State
0 - 5,Total,Pop,245376,State
0 - 5,Total,Tx,17422,State
0 - 5,Total,Life,49075,State
0 - 5,White,Pop,137618,State
0 - 5,White,Tx,9771,State
0 - 5,White,Life,27524,State
10 - 15,Black,Pop,31922,State
10 - 15,Black,Tx,2266,State
10 - 15,Black,Life,6384,State
10 - 15,Hispanic,Pop,51933,State
10 - 15,Hispanic,Tx,3687,State
10 - 15,Hispanic,Life,10387,State
10 - 15,Other,Pop,20921,State
10 - 15,Other,Tx,1485,State
10 - 15,Other,Life,4184,State
10 - 15,Total,Pop,290213,State
10 - 15,Total,Tx,20605,State
10 - 15,Total,Life,58043,State
10 - 15,White,Pop,185457,State
10 - 15,White,Tx,13167,State
10 - 15,White,Life,37091,State
16 - 19,Black,Pop,24437,State
16 - 19,Black,Tx,1735,State
16 - 19,Black,Life,4887,State
16 - 19,Hispanic,Pop,35492,State
16 - 19,Hispanic,Tx,2520,State
16 - 19,Hispanic,Life,7098,State
16 - 19,Other,Pop,12696,State
16 - 19,Other,Tx,901,State
16 - 19,Other,Life,2539,State
16 - 19,Total,Pop,200886,State
16 - 19,Total,Tx,14263,State
16 - 19,Total,Life,40177,State
16 - 19,White,Pop,128261,State
16 - 19,White,Tx,9107,State
16 - 19,White,Life,25652,State
20 - 21,Black,Pop,11891,State
20 - 21,Black,Tx,844,State
20 - 21,Black,Life,2378,State
20 - 21,Hispanic,Pop,17311,State
20 - 21,Hispanic,Tx,1229,State
20 - 21,Hispanic,Life,3462,State
20 - 21,Other,Pop,6199,State
20 - 21,Other,Tx,440,State
20 - 21,Other,Life,1240,State
20 - 21,Total,Pop,94459,State
20 - 21,Total,Tx,6707,State
20 - 21,Total,Life,18892,State
20 - 21,White,Pop,29058,State
20 - 21,White,Tx,2063,State
20 - 21,White,Life,5812,State
6 - 9,Black,Pop,18821,State
6 - 9,Black,Tx,1336,State
6 - 9,Black,Life,3764,State
6 - 9,Hispanic,Pop,34751,State
6 - 9,Hispanic,Tx,2467,State
6 - 9,Hispanic,Life,6950,State
6 - 9,Other,Pop,15599,State
6 - 9,Other,Tx,1108,State
6 - 9,Other,Life,3120,State
6 - 9,Total,Pop,179249,State
6 - 9,Total,Tx,12727,State
6 - 9,Total,Life,35850,State
6 - 9,White,Pop,110078,State
6 - 9,White,Tx,7816,State
6 - 9,White,Life,22016,State
0 - 21,Black,Pop,10966,West
0 - 21,Black,Tx,779,West
0 - 21,Black,Life,2193,West
0 - 21,Hispanic,Pop,31049,West
0 - 21,Hispanic,Tx,2204,West
0 - 21,Hispanic,Life,6210,West
0 - 21,Other,Pop,12537,West
0 - 21,Other,Tx,890,West
0 - 21,Other,Life,2507,West
0 - 21,Total,Pop,172995,West
0 - 21,Total,Tx,12283,West
0 - 21,Total,Life,34599,West
0 - 21,White,Pop,118443,West
0 - 21,White,Tx,8409,West
0 - 21,White,Life,23689,West
0 - 5,Black,Pop,2309,West
0 - 5,Black,Tx,164,West
0 - 5,Black,Life,462,West
0 - 5,Hispanic,Pop,9000,West
0 - 5,Hispanic,Tx,639,West
0 - 5,Hispanic,Life,1800,West
0 - 5,Other,Pop,3872,West
0 - 5,Other,Tx,275,West
0 - 5,Other,Life,774,West
0 - 5,Total,Pop,41569,West
0 - 5,Total,Tx,2951,West
0 - 5,Total,Life,8314,West
0 - 5,White,Pop,26388,West
0 - 5,White,Tx,1874,West
0 - 5,White,Life,5278,West
10 - 15,Black,Pop,3178,West
10 - 15,Black,Tx,226,West
10 - 15,Black,Life,636,West
10 - 15,Hispanic,Pop,8462,West
10 - 15,Hispanic,Tx,601,West
10 - 15,Hispanic,Life,1692,West
10 - 15,Other,Pop,3475,West
10 - 15,Other,Tx,247,West
10 - 15,Other,Life,695,West
10 - 15,Total,Pop,52829,West
10 - 15,Total,Tx,3751,West
10 - 15,Total,Life,10566,West
10 - 15,White,Pop,37714,West
10 - 15,White,Tx,2678,West
10 - 15,White,Life,7543,West
16 - 19,Black,Pop,2559,West
16 - 19,Black,Tx,182,West
16 - 19,Black,Life,512,West
16 - 19,Hispanic,Pop,5530,West
16 - 19,Hispanic,Tx,393,West
16 - 19,Hispanic,Life,1106,West
16 - 19,Other,Pop,1935,West
16 - 19,Other,Tx,137,West
16 - 19,Other,Life,387,West
16 - 19,Total,Pop,33565,West
16 - 19,Total,Tx,2383,West
16 - 19,Total,Life,6713,West
16 - 19,White,Pop,23541,West
16 - 19,White,Tx,1671,West
16 - 19,White,Life,4708,West
20 - 21,Black,Pop,1114,West
20 - 21,Black,Tx,79,West
20 - 21,Black,Life,223,West
20 - 21,Hispanic,Pop,2475,West
20 - 21,Hispanic,Tx,176,West
20 - 21,Hispanic,Life,495,West
20 - 21,Other,Pop,720,West
20 - 21,Other,Tx,51,West
20 - 21,Other,Life,144,West
20 - 21,Total,Pop,12944,West
20 - 21,Total,Tx,919,West
20 - 21,Total,Life,2589,West
20 - 21,White,Pop,8635,West
20 - 21,White,Tx,613,West
20 - 21,White,Life,1727,West
6 - 9,Black,Pop,1806,West
6 - 9,Black,Tx,128,West
6 - 9,Black,Life,361,West
6 - 9,Hispanic,Pop,5582,West
6 - 9,Hispanic,Tx,396,West
6 - 9,Hispanic,Life,1116,West
6 - 9,Other,Pop,2535,West
6 - 9,Other,Tx,180,West
6 - 9,Other,Life,507,West
6 - 9,Total,Pop,32088,West
6 - 9,Total,Tx,2278,West
6 - 9,Total,Life,6418,West
6 - 9,White,Pop,22165,West
6 - 9,White,Tx,1574,West
6 - 9,White,Life,4433,West
